registros,Crit_Julg,Cmp_Gru,I_Cmp,I_Und
4,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM MÍNIMA 5KG
4,Menor Valor,Não tem Grupo,ARROZ,PACOTE DE 5 KG
4,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE DE 5KG
4,Não Informado,Não se Aplica,ARROZ BENEFICIADO,KG
4,Menor Valor,Grupo 8,ARROZ IN - NATURA,KG
4,Menor Valor,Grupo 12,ARROZ,KG
4,Não Informado,Não se Aplica,ARROZ BENEFICIADO,EMBALAGEM 5 KG
4,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE COM 5 KG
4,Não Informado,Não se Aplica,ARROZ IN - NATURA,FRD.
4,Menor Valor,Não tem Grupo,ARROZ,PACOTE DE 5KG
4,Não Informado,Não se Aplica,ARROZ,FRDS
4,Não Informado,Não se Aplica,ARROZ,"5,00 KG"
4,Menor Valor,Não tem Grupo,CASCA ARROZ,METRO CUBICO
4,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE 1KG
4,Menor Valor,Grupo 16,ARROZ,QUILOGRAMA
4,Menor Valor,NULL,ARROZ,"SACO 5,00 KG"
4,Menor Valor,NULL,ARROZ,UNIDADE
4,Menor Valor,Grupo 3,ARROZ IN - NATURA,KG
4,Menor Valor,Grupo 3,ARROZ,PACOTE 1KG
4,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE COM 1 KG
4,Menor Valor,Grupo 11,ARROZ,UNIDADE
4,Não Informado,Não se Aplica,ARROZ,FRDS.
4,Menor Valor,Não tem Grupo,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UNIDADE
4,Não Informado,Não tem Grupo,CREME ARROZ,"CAIXA 200,00 G"
4,Não Informado,Não se Aplica,CASCA ARROZ,QUILO
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE 1KG
3,Menor Valor,Não tem Grupo,ARROZ,FARDO 6X5KG
3,Não Informado,Não se Aplica,ARROZ,5 KG
3,Menor Valor,Grupo 11,FARINHA ARROZ,"EMBALAGEM 500,00 G"
3,Menor Valor,Grupo 13,FARINHA ARROZ,"EMBALAGEM 500,00 G"
3,Maior Desconto,Não tem Grupo,ARROZ,"SACO 5,00 KG"
3,Menor Valor,Grupo 2,FARINHA ARROZ,UNIDADE
3,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDOS
3,Menor Valor,Grupo 2,CREME ARROZ,"EMBALAGEM 400,00 G"
3,Menor Valor,Grupo 6,ARROZ,EMBALAGEM 500G
3,Menor Valor,Grupo 1,ARROZ BENEFICIADO,EMBALAGEM 5 KG
3,Menor Valor,Grupo 1,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UNIDADE
3,Menor Valor,Grupo 1,ARROZ,EMBALAGEM DE 1 KG
3,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 1 KG
3,Menor Valor,Não tem Grupo,CASCA ARROZ,M³
3,Menor Valor,Grupo 5,ARROZ,"PACOTE 1,00 KG"
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,KILOGRAMAS
3,Não Informado,Não se Aplica,ARROZ,PACOTE COM 05 QUILOS
3,Não Informado,Não se Aplica,ARROZ,"PACOTE 500,00 G"
3,Não Informado,Não se Aplica,ARROZ,PCTS 5 KGS
3,Não Informado,Não se Aplica,CASCA ARROZ,UN
3,Menor Valor,Não tem Grupo,CASCA ARROZ,UN
3,Menor Valor,Não tem Grupo,ARROZ,PCT 5 KG
3,Menor Valor,Grupo 3,ARROZ BENEFICIADO,EMBALAGEM 1 KG
3,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACO
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE DE 5 KG
3,Não Informado,Não se Aplica,ARROZ,FARDO C/10X1
3,Menor Valor,Grupo 10,ARROZ,KG
3,Menor Valor,Grupo 1,ARROZ,PCT
3,Menor Valor,Grupo 13,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
3,Menor Valor,Grupo 2,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
3,Menor Valor,Grupo 17,ARROZ BENEFICIADO,QUILOGRAMA
3,Menor Valor,Grupo 19,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
3,Menor Valor,Grupo 2,ARROZ,"SACO 5,00 KG"
3,Menor Valor,Grupo 3,FARINHA ARROZ,"LATA 400,00 G"
3,Não Informado,Não se Aplica,ARROZ,PCT 5KG
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACA
3,Não Informado,Não se Aplica,ARROZ,KHG
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT.
3,Menor Valor,Não tem Grupo,ARROZ,SC
3,Menor Valor,Não tem Grupo,CASCA ARROZ,M
3,Menor Valor,Não tem Grupo,ARROZ,"SACO 50,00 KG"
3,Menor Valor,Grupo 16,FARINHA ARROZ,"EMBALAGEM 500,00 G"
3,Menor Valor,Grupo 2,ARROZ,"SACO 1,00 KG"
3,Menor Valor,NULL,FARINHA ARROZ,QUILOGRAMA
3,Menor Valor,Grupo 6,ARROZ,"PACOTE 1,00 KG"
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO C/30KG
3,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,UNIDADE
3,Não Informado,Não se Aplica,ARROZ,FARDO C/10X1KG.
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,194033
3,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACA COM 40 KG
3,Menor Valor,Grupo 6,CREME ARROZ,"CAIXA 200,00 G"
3,Menor Valor,Grupo 5,CREME ARROZ,"EMBALAGEM 400,00 G"
3,Menor Valor,Grupo 9,ARROZ IN - NATURA,UNIDADE
3,Menor Valor,Grupo 5,FARINHA ARROZ,QUILOGRAMA
3,Menor Valor,Grupo 1,ARROZ IN - NATURA,PACOTE 1 KG
3,Menor Valor,Grupo 1,ARROZ IN - NATURA,PACOTE 5KG
3,Menor Valor,Grupo 12,ARROZ BENEFICIADO,QUILOGRAMA
3,Menor Valor,Grupo 13,FARINHA ARROZ,UNIDADE
3,Menor Valor,NULL,ARROZ IN - NATURA,UNIDADE
3,Menor Valor,Grupo 5,ARROZ,"SACO 5,00 KG"
3,Não Informado,Não se Aplica,ARROZ,PCTE.
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,PT
3,Não Informado,Não se Aplica,ARROZ,FARDO C/10 X 1 KG.
3,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO COM 30 KG
3,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 06 PACOTES
3,Menor Valor,Não tem Grupo,ARROZ,EMB
3,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB. DE 5KG
3,Menor Valor,Não tem Grupo,CASCA ARROZ,KILOS
3,Menor Valor,Grupo 7,ARROZ IN - NATURA,QUILOGRAMA
3,Menor Valor,Grupo 9,ARROZ IN - NATURA,KG
3,Menor Valor,Grupo 13,ARROZ BENEFICIADO,QUILOGRAMA
3,Menor Valor,Não tem Grupo,CASCA ARROZ,TON
3,Menor Valor,Não tem Grupo,FARINHA ARROZ,EMB
3,Menor Valor,Não tem Grupo,ARROZ,1KG
3,Não Informado,Não se Aplica,ARROZ,10 G
3,Não Informado,Não se Aplica,ARROZ,FARDO 30KG
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT 5KG
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT 5 KG
3,Não Informado,Não se Aplica,CREME ARROZ,"EMBALAGEM 1,00 KG"
3,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SERVIÇO
3,Não Informado,Não se Aplica,ARROZ,PACOTE DE 5 KG
3,Não Informado,Não se Aplica,ARROZ,SCS
3,Não Informado,Não se Aplica,ARROZ,"PCT 5,00 KG"
3,Menor Valor,Não tem Grupo,ARROZ,SACO 5KG
3,Não Informado,Não se Aplica,ARROZ IN - NATURA,LATA
3,Não Informado,Não se Aplica,ARROZ,FARDO C/30 KG.
3,Não Informado,Não se Aplica,ARROZ,FARDO C/30X1KG.
3,Menor Valor,Não tem Grupo,ARROZ,QUILOS
3,Menor Valor,Não tem Grupo,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UND
3,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE DE 5KG
3,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCT 5 KG
3,Menor Valor,Grupo 5,ARROZ,KG
3,Menor Valor,Grupo 4,ARROZ,450G
3,Menor Valor,Grupo 1,ARROZ,FD
3,Menor Valor,NULL,ARROZ IN - NATURA,PACOTE DE 05 KG
3,Menor Valor,Grupo 12,ARROZ IN - NATURA,KG
2,Menor Valor,Grupo 11,ARROZ,EMBALAGEM 1 KG
2,Menor Valor,Grupo 11,ARROZ BENEFICIADO,KG
2,Menor Valor,Grupo 19,ARROZ,"PACOTE 5,00 KG"
2,Menor Valor,Grupo 15,FARINHA ARROZ,"EMBALAGEM 500,00 G"
2,Menor Valor,Grupo 16,ARROZ,UNIDADE
2,Menor Valor,Grupo 1,ARROZ IN - NATURA,KILO
2,Menor Valor,Grupo 1,ARROZ IN - NATURA,QUILO
2,Menor Valor,Grupo 1,ARROZ,PACOTE COM 5 KG
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB DE 5KG
2,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 05 KG
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM DE 5 KG
2,Menor Valor,Não tem Grupo,ARROZ,PCT C/ 1 KG
2,Não Informado,Não se Aplica,ARROZ,PCTE 05KG
2,Não Informado,Não se Aplica,ARROZ,PCTS DE 5 KGS
2,Não Informado,Não se Aplica,ARROZ,PD
2,Não Informado,Não se Aplica,ARROZ,UNIDADES
2,Não Informado,Não se Aplica,ARROZ,"LATA 900,00 ML"
2,Não Informado,Não se Aplica,CREME ARROZ,CAIXA
2,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SV
2,Não Informado,Não se Aplica,ARROZ,SAC
2,Não Informado,Não se Aplica,ARROZ,PCT - 1 KG
2,Não Informado,Não se Aplica,ARROZ,PACOTE DE 5KG
2,Não Informado,Não se Aplica,ARROZ,PACOTE.
2,Não Informado,Não tem Grupo,ARROZ IN - NATURA,FARDOS
2,Não Informado,Não se Aplica,ARROZ,FARDO 30 KG
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,PC DE 05 KG
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO COM 30 KG
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACAS COM 40 KILOS
2,Não Informado,Não se Aplica,ARROZ,CAIXA
2,Não Informado,Não se Aplica,ARROZ,PACOTE C/ 5 KG
2,Menor Valor,Não tem Grupo,ARROZ,FARDO DE 30 KG
2,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM DE 500G
2,Menor Valor,Não tem Grupo,ARROZ,PCT C/ 5 KG
2,Menor Valor,Não tem Grupo,ARROZ,PACOTE C/ 5KG
2,Menor Valor,Não tem Grupo,CASCA ARROZ,SC
2,Maior Desconto,Não tem Grupo,FARINHA ARROZ,UNIDADE
2,Menor Valor,Grupo 2,ARROZ BENEFICIADO,EMBALAGEM 5 KG
2,Menor Valor,Grupo 2,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UNIDADE
2,Menor Valor,Grupo 2,ARROZ IN - NATURA,PCT
2,Menor Valor,Grupo 9,ARROZ BENEFICIADO,QUILOGRAMA
2,Menor Valor,Grupo 9,FARINHA ARROZ,"EMBALAGEM 500,00 G"
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,CAIXA
2,Menor Valor,Grupo 8,CASCA ARROZ,QUILOGRAMA
2,Menor Valor,Não tem Grupo,ARROZ,1 QUILO
2,Menor Valor,Grupo 7,ARROZ,EMBALAGEM
2,Menor Valor,Grupo 7,ARROZ,KG
2,Menor Valor,Grupo 6,ARROZ,UNIDADE
2,Menor Valor,Grupo 5,FARINHA ARROZ,UNIDADE
2,Menor Valor,Grupo 4,ARROZ,EMBALAGEM
2,Menor Valor,Não tem Grupo,ARROZ,PACOTE C/ 05 KG
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO COM 30X01KG
2,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 0000005,00 KG"
2,Não Informado,Não se Aplica,ARROZ,LA
2,Não Informado,Não se Aplica,ARROZ,UNIDADE 5KG
2,Menor Valor,Grupo 5,ARROZ IN - NATURA,KG
2,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMB DE 5KG
2,Menor Valor,Grupo 3,ARROZ,"FARDO 30,00 KG"
2,Menor Valor,Grupo 7,ARROZ IN - NATURA,PACOTE
2,Menor Valor,Grupo 7,ARROZ,"SACO 1,00 KG"
2,Menor Valor,Grupo 9,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
2,Menor Valor,Grupo 7,CREME ARROZ,"EMBALAGEM 400,00 G"
2,Menor Valor,NULL,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
2,Menor Valor,Grupo 1,ARROZ BENEFICIADO,EMBALAGEM 1 KG
2,Menor Valor,Grupo 1,ARROZ,SACO
2,Maior Desconto,Não se Aplica,ARROZ IN - NATURA,KILO
2,Menor Valor,Grupo 1,CASCA ARROZ,SACO
2,Menor Valor,Grupo 19,FARINHA ARROZ,"LATA 400,00 G"
2,Menor Valor,Grupo 2,ARROZ IN - NATURA,KILO
2,Não Informado,Não tem Grupo,ARROZ,"SACO 60,00 KG"
2,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UN
2,Não Informado,Não se Aplica,CASCA ARROZ,SACAS
2,Maior Desconto,Não tem Grupo,ARROZ,"PACOTE 1,00 KG"
2,Menor Valor,NULL,ARROZ,FARDO 30 KGS
2,Menor Valor,Grupo 13,ARROZ,EMBALAGEM
2,Menor Valor,Grupo 13,ARROZ,"PACOTE 1,00 KG"
2,Menor Valor,Grupo 2,CREME ARROZ,"CAIXA 200,00 G"
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB
2,Menor Valor,Grupo 7,FARINHA ARROZ,QUILOGRAMA
2,Menor Valor,Grupo 8,ARROZ IN - NATURA,QUILOGRAMA
2,Menor Valor,Não se Aplica,ARROZ IN - NATURA,PACOTE
2,Menor Valor,Grupo 9,CREME ARROZ,"CAIXA 200,00 G"
2,Menor Valor,Não se Aplica,ARROZ IN - NATURA,FARDO
2,Menor Valor,Grupo 5,FARINHA ARROZ,"LATA 400,00 G"
2,Menor Valor,Grupo 2,ARROZ IN - NATURA,KG.
2,Menor Valor,Grupo 4,ARROZ,EMB 5KG
2,Menor Valor,Grupo 7,ARROZ,"SACO 5,00 KG"
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE C/ 05 KG
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE 00000005,00 K"
2,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 5 QUILOS
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,LA
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,LT
2,Não Informado,Não se Aplica,ARROZ,FAD
2,Não Informado,Não se Aplica,ARROZ,SC.
2,Não Informado,Não se Aplica,ARROZ,PACT
2,Não Informado,Não se Aplica,ARROZ,PCTE 5KG
2,Menor Valor,Grupo 5,ARROZ,"FARDO 30,00 KG"
2,Menor Valor,Grupo 4,ARROZ,"FARDO 30,00 KG"
2,Menor Valor,Grupo 6,ARROZ,EMBALAGEM
2,Menor Valor,Grupo 8,ARROZ,KG
2,Menor Valor,Grupo 8,ARROZ,"SACO 1,00 KG"
2,Menor Valor,Grupo 9,ARROZ,KG
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB C/ 5KG
2,Menor Valor,NULL,ARROZ IN - NATURA,PACOTE 5 KG
2,Menor Valor,Grupo 1,ARROZ,PACOTE COM 01 KG
2,Menor Valor,Grupo 14,FARINHA ARROZ,"LATA 400,00 G"
2,Menor Valor,Grupo 16,ARROZ IN - NATURA,KG
2,Menor Valor,Grupo 19,FARINHA ARROZ,QUILOGRAMA
2,Menor Valor,Grupo 3,CASCA ARROZ,QUILOGRAMA
2,Menor Valor,Não tem Grupo,ARROZ,PCT 1 KG
2,Menor Valor,Não se Aplica,ARROZ IN - NATURA,FARDOS
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO 30KG
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO DE 5KG
2,Não Informado,Não se Aplica,ARROZ,FARDO C/30 X 1KG.
2,Não Informado,Não se Aplica,ARROZ,"GARRAFA 1000,00 ML"
2,Não Informado,Não se Aplica,ARROZ,SERVIÇO
2,Não Informado,Não se Aplica,CASCA ARROZ,KILO
2,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMB. 5KG
2,Menor Valor,Grupo 3,ARROZ,EMBALAGEM DE 500G
2,Menor Valor,Grupo 3,ARROZ,PACOTE
2,Menor Valor,Grupo 8,ARROZ,PACOTE 1KG
2,Menor Valor,Grupo 8,CASCA ARROZ,UNIDADE
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"FARDO 6,00 UN"
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO COM 6 PACOTES
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KGR.
2,Menor Valor,Grupo 1,ARROZ IN - NATURA,KG.
2,Menor Valor,Grupo 1,ARROZ,FARDO 30 KG
2,Menor Valor,Grupo 11,ARROZ,EMBALAGEM 500G
2,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,LITROS
2,Não Informado,Não se Aplica,ARROZ,500 GRAMAS
2,Não Informado,Não se Aplica,ARROZ,5KG
2,Menor Valor,Não tem Grupo,ARROZ,"5,00 KG"
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTES COM 5 KG
2,Menor Valor,Não tem Grupo,FARINHA ARROZ,EMBALAGEM 500 G
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,1
2,Menor Valor,Não tem Grupo,ARROZ,KG.
2,Não Informado,Não tem Grupo,ARROZ,FARDO
2,Não Informado,Não se Aplica,ARROZ,PCT 05 KG
2,Não Informado,Não se Aplica,ARROZ,PACOTE 1 KG
2,Menor Valor,Não tem Grupo,FARINHA ARROZ,LATA 400 G
2,Não Informado,Não se Aplica,ARROZ,"*FRASCO 750,00 ML"
2,Não Informado,Não se Aplica,ARROZ,EMBALAGEM 5 KG
2,Menor Valor,Não tem Grupo,ARROZ,PACOTE 5 KG.
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE 2,00 KG"
2,Menor Valor,Não tem Grupo,ARROZ,5KG
2,Menor Valor,Não tem Grupo,ARROZ,EMB.C/5 KG
2,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM COM 5KG
2,Menor Valor,Não tem Grupo,ARROZ,"FARDO 00000010,00 KG"
2,Menor Valor,Grupo 1,ARROZ,FARDO C/30 PCT. DE U
2,Menor Valor,Grupo 16,ARROZ IN - NATURA,UND
2,Menor Valor,Grupo 19,CREME ARROZ,"EMBALAGEM 400,00 G"
2,Menor Valor,Grupo 19,FARINHA ARROZ,UNIDADE
2,Menor Valor,Grupo 10,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
2,Menor Valor,Grupo 11,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
2,Menor Valor,Grupo 12,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
2,Menor Valor,Grupo 13,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
2,Menor Valor,Grupo 4,CASCA ARROZ,QUILOGRAMA
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM 5 KG
2,Menor Valor,Grupo 8,ARROZ,"FARDO 30,00 KG"
2,Menor Valor,Grupo 9,ARROZ,"SACO 1,00 KG"
2,Menor Valor,Grupo 2,ARROZ,"PACOTE 10,00 UN"
2,Menor Valor,Não se Aplica,FARINHA ARROZ,UNIDADE
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB C/ 1KG
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO DE 6X5KG
2,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCT 1 KG
2,Maior Desconto,Não tem Grupo,ARROZ,"PACOTE 5,00 KG"
2,Menor Valor,Grupo 8,FARINHA ARROZ,UNIDADE
2,Menor Valor,Grupo 8,ARROZ,"PACOTE 00000001,00 K"
2,Menor Valor,Grupo 16,ARROZ,KG
2,Menor Valor,Grupo 3,CREME ARROZ,"CAIXA 200,00 G"
2,Maior Desconto,Não tem Grupo,FARINHA ARROZ,"EMBALAGEM 500,00 G"
2,Menor Valor,Grupo 1,ARROZ IN - NATURA,UNIDADE
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT C/ 5 KG
2,Não Informado,Não se Aplica,ARROZ,FARDO COM 30KG.
2,Não Informado,Não se Aplica,ARROZ,FORNECIMENTO
2,Não Informado,Não se Aplica,ARROZ,PCTES
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,EMB
2,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE C/ 5KG
2,Menor Valor,Não tem Grupo,ARROZ,SACO 1 KG
2,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 5KG
2,Não Informado,Não se Aplica,CASCA ARROZ,SACA
2,Não Informado,Não se Aplica,ARROZ,80
2,Não Informado,Não se Aplica,ARROZ,SACOS
1,Não Informado,Não se Aplica,ARROZ,SC 30KG
1,Não Informado,Não se Aplica,ARROZ,UD
1,Não Informado,Não se Aplica,ARROZ,UNI
1,Não Informado,Não se Aplica,ARROZ,SACO C/ 30KG
1,Não Informado,Não se Aplica,ARROZ,PCTS C/05 KILOS
1,Não Informado,Não se Aplica,CASCA ARROZ,UND
1,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SERVICO
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),QUILOGRAMA
1,Não Informado,Não se Aplica,CASCA ARROZ,KF
1,Não Informado,Não se Aplica,CASCA ARROZ,METRO CÚBICO
1,Não Informado,Não tem Grupo,ARROZ IN - NATURA,LATA
1,Não Informado,Não se Aplica,FARINHA ARROZ,LITRO
1,Não Informado,Não se Aplica,FARINHA ARROZ,LT
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE DE 01 KG
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE DE QUILOGRA
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,KK
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,KLS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,MATERIAL
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE DE 05 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,"PACOTE DE 5,00 KG"
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SACOS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FAD
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FAD.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO 30 X 01 KGS.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO 6X5
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO C/30
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO DE 30KG.
1,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 10 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 30KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 6 FARDOS D
1,Menor Valor,Não tem Grupo,ARROZ,KIOLOGRAMA
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE 5 KG CADA
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 2KG
1,Não Informado,Não se Aplica,ARROZ,PCTO
1,Não Informado,Não se Aplica,ARROZ,PCT. C/ 5KG
1,Não Informado,Não se Aplica,ARROZ,K
1,Não Informado,Não se Aplica,ARROZ,KH
1,Não Informado,Não se Aplica,ARROZ,"LATA 470,00 G"
1,Não Informado,Não se Aplica,ARROZ,"LATA 500,00 G"
1,Não Informado,Não se Aplica,ARROZ,PACOTE 5 QUILOS
1,Não Informado,Não se Aplica,ARROZ,PACOTE COM 5KG.
1,Não Informado,Não se Aplica,ARROZ,PACOTES 05 KG
1,Não Informado,Não se Aplica,ARROZ,PACOTES COM 05 KG
1,Não Informado,Não se Aplica,ARROZ,PC/5KG
1,Não Informado,Não se Aplica,ARROZ,PCOTE COM 5KG
1,Não Informado,Não se Aplica,ARROZ,PCT 05KG
1,Não Informado,Não se Aplica,ARROZ,PCT 5KG.
1,Não Informado,Não se Aplica,ARROZ,FRADO 30X01
1,Não Informado,Não se Aplica,ARROZ,FARDOS DE 30 KG
1,Não Informado,Não se Aplica,ARROZ,FD.C/40X1
1,Não Informado,Não se Aplica,ARROZ,FDS.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT. 05 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACOS DE 25 KILOS
1,Não Informado,Não se Aplica,ARROZ,FADO C/10 KG.
1,Não Informado,Não se Aplica,ARROZ,FARDO C/10X1KG
1,Não Informado,Não se Aplica,ARROZ,FARDO C/30 X 01 KG.
1,Menor Valor,Grupo 1,ARROZ,FARDO C/ 30 PAC
1,Menor Valor,Grupo 1,ARROZ,PACOTE 5 KG
1,Menor Valor,Grupo 1,ARROZ,PC
1,Menor Valor,Grupo 1,ARROZ,PCT 1KG
1,Menor Valor,Grupo 1,ARROZ,UN
1,Menor Valor,Grupo 14,ARROZ IN - NATURA,EMB 5KG
1,Menor Valor,Grupo 1,LEITE DE ARROZ,"CAIXA 1,00 L"
1,Menor Valor,Grupo 10,ARROZ,EMBALAGEM
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMB 5KG
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMBALAGEM 5 KG
1,Menor Valor,Grupo 1,ARROZ BENEFICIADO,KG
1,Menor Valor,Grupo 5,ARROZ IN - NATURA,PCT
1,Menor Valor,Grupo 5,CASCA ARROZ,QUILOGRAMA
1,Menor Valor,Grupo 5,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 6,ARROZ,200G
1,Menor Valor,Grupo 6,ARROZ,EMBALAGEM DE 500 G
1,Menor Valor,Grupo 17,ARROZ,"PACOTE 5,00 KG"
1,Menor Valor,Grupo 17,FARINHA ARROZ,"EMBALAGEM 500,00 G"
1,Menor Valor,Grupo 19,ARROZ,KG
1,Menor Valor,Grupo 2,ARROZ IN - NATURA,PACOTE C/ 1KG
1,Menor Valor,Grupo 2,ARROZ,"PACOTE 00000001,00 K"
1,Menor Valor,Grupo 2,ARROZ,SACO
1,Menor Valor,Grupo 3,ARROZ IN - NATURA,KILOGRAMA
1,Menor Valor,Grupo 3,ARROZ,PACOTE COM 5 KG
1,Menor Valor,Grupo 3,ARROZ,PACOTE DE 1 KILO
1,Menor Valor,Grupo 9,FARINHA ARROZ,UNIDADE
1,Menor Valor,Não se Aplica,ARROZ IN - NATURA,KILO
1,Menor Valor,Não se Aplica,ARROZ IN - NATURA,SACO DE 50KG
1,Menor Valor,Grupo 7,CASCA ARROZ,QUILO
1,Menor Valor,Grupo 7,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 7,ARROZ IN - NATURA,UNIDADE
